0, 149, 1
0, 219, 2
0, 600, 1
0, 795, 2
0, 856, 2
0, 987, 2
0, 1063, 2
0, 1147, 2
0, 1176, 1
0, 1201, 2
0, 1266, 1
0, 1310, 2
0, 1419, 2
0, 1468, 1
0, 1802, 1
0, 1810, 2
0, 1819, 1
0, 1881, 1
1, 354, 2
1, 361, 2
1, 851, 1
1, 1033, 2
1, 1423, 2
1, 1473, 5
1, 1692, 1
1, 1713, 1
2, 288, 2
2, 347, 2
2, 902, 2
2, 1253, 2
2, 1303, 2
2, 1814, 1
2, 1950, 2
3, 558, 5
3, 1751, 4
3, 1762, 2
3, 1793, 7
3, 1868, 2
4, 69, 7
4, 339, 1
4, 382, 2
4, 400, 1
4, 470, 1
4, 536, 2
4, 765, 2
4, 955, 2
4, 1006, 2
4, 1051, 2
5, 208, 1
5, 520, 1
5, 972, 5
5, 1011, 2
5, 1025, 1
5, 1269, 4
5, 1426, 1
5, 1488, 2
5, 1547, 1
5, 1587, 11
5, 1650, 1
5, 1953, 2
6, 434, 1
6, 871, 2
6, 973, 4
6, 1218, 2
6, 1220, 2
6, 1568, 2
6, 1868, 2
6, 1901, 5
7, 68, 2
7, 74, 2
7, 208, 1
7, 404, 1
7, 410, 2
7, 446, 2
7, 529, 2
7, 791, 2
7, 863, 2
7, 946, 2
7, 974, 2
7, 1047, 1
7, 1051, 4
7, 1195, 3
7, 1313, 2
7, 1580, 1
7, 1596, 1
7, 1709, 1
8, 145, 1
8, 208, 1
8, 754, 1
8, 772, 2
8, 883, 2
8, 1101, 1
8, 1497, 2
8, 1882, 2
9, 31, 1
9, 156, 3
9, 520, 4
9, 605, 2
9, 856, 3
9, 1011, 2
9, 1815, 1
9, 1856, 1
9, 1858, 1
10, 4, 2
10, 179, 1
10, 219, 2
10, 248, 2
10, 543, 2
10, 711, 7
10, 761, 2
10, 880, 2
10, 1154, 2
10, 1321, 14
10, 1754, 1
10, 1856, 2
10, 1874, 2
11, 36, 2
11, 144, 2
11, 169, 4
11, 600, 1
11, 1530, 2
11, 1820, 1
11, 1881, 2
12, 550, 2
12, 556, 1
12, 622, 2
12, 687, 1
12, 851, 1
12, 1242, 2
12, 1265, 1
12, 1293, 2
12, 1441, 1
12, 1618, 1
12, 1908, 2
12, 1940, 6
13, 255, 2
13, 733, 2
13, 1135, 2
13, 1200, 2
13, 1259, 2
13, 1806, 1
13, 1829, 1
13, 1918, 1
14, 88, 2
14, 484, 2
14, 938, 2
14, 1409, 2
14, 1859, 2
15, 38, 6
15, 273, 2
15, 1040, 1
15, 1069, 2
16, 36, 2
16, 70, 2
16, 305, 2
16, 420, 1
16, 452, 1
16, 662, 4
16, 696, 2
16, 850, 6
16, 1198, 3
17, 12, 1
17, 182, 2
17, 195, 1
17, 219, 1
17, 556, 2
17, 738, 2
17, 876, 1
17, 1257, 2
17, 1289, 1
17, 1479, 1
17, 1815, 4
17, 1874, 1
17, 1923, 1
18, 169, 1
18, 288, 1
18, 419, 2
18, 500, 2
18, 665, 1
18, 685, 1
